customer_id,customer_name,customer_segment,region
CUST-00380,Ingeborg Whitlock,Corporate,Central
CUST-00115,Colin Costa,Consumer,Central
CUST-00328,Pavel Ashworth,Small Business,East
CUST-00267,Alma Rossi,Small Business,East
CUST-00383,Zoya Ashworth,Corporate,Central
CUST-00042,Kian Marchetti,Enterprise,West
CUST-00023,Livia Sorensen,Consumer,East
CUST-00419,Paloma Bakker,Consumer,West
CUST-00263,Hannah Demir,Consumer,North
CUST-00469,Patrick Jansen,Consumer,Central
CUST-00143,,Consumer,North
CUST-00249,Esme Okonkwo,Consumer,West
CUST-00192,Reza Reyes,Consumer,North
CUST-00033,Sylvia Raman,Consumer,West
CUST-00270,Dmitri Sundberg,Corporate,North
CUST-00426,Zara Fitzgerald,Consumer,South
CUST-00245,Zoya Novikova,Consumer,South
CUST-00171,Pablo Nabil,Small Business,West
CUST-00379,Greta Melnyk,Enterprise,East
CUST-00228,Elena Donnelly,Consumer,East
CUST-00114,Tessa Mahmood,,North
CUST-00454,Adrian Ferrari,Consumer,Central
CUST-00063,Ravi Duarte,Small Business,North
CUST-00125,Greta Wren,Corporate,South
CUST-00443,Kian Farrell,Consumer,East
CUST-00124,Stefan Ashby,Small Business,Central
CUST-00232,Bianca Donnelly,Consumer,Central
CUST-00500,Josef Trelawney,Consumer,East
CUST-00074,Priya Okonkwo,Corporate,Central
CUST-00225,,Corporate,Central
CUST-00300,Arthur Vogel,Consumer,West
CUST-00215,Nadia Rossi,Corporate,South
CUST-00480,Selin Jansen,Enterprise,North
CUST-00047,Daniel Fitzgerald,Corporate,Central
CUST-00435,Talia Visser,Small Business,North
CUST-00034,Nadia Kowalski,Corporate,South
CUST-00492,Yara Delgado,Consumer,
CUST-00053,Rowan Osei,Consumer,NORTH
CUST-00184,LARS NILSSON,Consumer,South
CUST-00161,Tessa Brandt,Consumer,West
CUST-00307,Sofia Vasquez,Corporate,Central
CUST-00464,Nora Vogel,Consumer,South
CUST-00057,Rina Mahmood,Consumer,North
CUST-00119,Diego Demir,Corporate,East
CUST-00493,Callum Lindgren,Consumer,South
CUST-00251,Amara Nabil,Corporate,Central
CUST-00054,ANDRE LINDQVIST,Small Business,West
CUST-00001,Owen Solberg,Corporate,Central
CUST-00475,Elsie Lindqvist,Consumer,South
CUST-00280,Rowan Bakker,Consumer,WEST
CUST-00345,Sasha Qureshi,Consumer,East
CUST-00417,Anton Nwosu,Corporate,Central
CUST-00332,Reza Chen,Consumer,North
CUST-00416,Oscar Attah,Small Business,West
CUST-00472,Beatrix Nwosu,Corporate,Central
CUST-00111,Simon Sundberg,Corporate,Central
CUST-00035,Sylvia Donnelly,Enterprise,South
CUST-00338,Clara Sundberg,Small Business,East
CUST-00128,Nina Bergstrom,Enterprise,South
CUST-00199,Nina Volkov,Small Business,CENTRAL
CUST-00044,Clara Sundberg,Consumer,East
CUST-00190,Ingeborg Yildiz,Corporate,West
CUST-00347,Leila Toure,Consumer,West
CUST-00117,Arthur Novotny,Corporate,North
CUST-00360,,Enterprise,South
CUST-00252,SYLVIA VOLKOV,Enterprise,North
CUST-00198,Victor Ainsworth,Corporate,North
CUST-00293,Hugo Lindgren,Corporate,South
